school,clean_name,clean_city,clean_state,category
"Skutt Catholic",NULL,NULL,NULL,high_school
"Pickerington Ridgeview",NULL,NULL,NULL,high_school
"Mueller Park MS",NULL,NULL,NULL,middle_school
"Princess Anne",NULL,NULL,NULL,high_school
Trinity,NULL,NULL,NULL,high_school
"Kellam, VA",Kellam,NULL,VA,high_school
"Bishop Ireton, VA","Bishop Ireton",NULL,VA,high_school
Wallkill,NULL,NULL,NULL,high_school
"Solon, IA",Solon,NULL,IA,high_school
"Elkhorn North, NE","Elkhorn North",NULL,NE,high_school
"Charlotte Catholic, NC","Charlotte Catholic",NULL,NC,high_school
"Archbishop Spalding",NULL,NULL,NULL,high_school
"West Cabarrus",NULL,NULL,NULL,high_school
Pittsford,NULL,NULL,NULL,high_school
"Davenport North, IA","Davenport North",NULL,IA,high_school
"Morris Catholic, NJ","Morris Catholic",NULL,NJ,high_school
"Wheeling Park",NULL,NULL,NULL,high_school
"Our Lady of Lourdes, NY","Our Lady of Lourdes",NULL,NY,high_school
"Union, WA",Union,NULL,WA,high_school
"Mt Vernon, IN","Mt Vernon",NULL,IN,high_school
"Rutherford, FL",Rutherford,NULL,FL,high_school
Huntsville,NULL,NULL,NULL,high_school
"Washington, IN",Washington,NULL,IN,high_school
"Salpointe Catholic, AZ","Salpointe Catholic",NULL,AZ,high_school
Winsdor,NULL,NULL,NULL,high_school
"York Institute",NULL,NULL,NULL,high_school
"Hazel Green, AL","Hazel Green",NULL,AL,high_school
Buckhorn,NULL,NULL,NULL,high_school
"Wylie East, TX","Wylie East",NULL,TX,high_school
"Hewitt-Trussville, AL",Hewitt-Trussville,NULL,AL,high_school
"Clovis West, CA","Clovis West",NULL,CA,high_school
"Mansfield Timberview",NULL,NULL,NULL,high_school
Braswell,NULL,NULL,NULL,high_school
"Mercy Academy, KY","Mercy Academy",NULL,KY,high_school
"Hopkins, MN",Hopkins,NULL,MN,high_school
DECA,NULL,NULL,NULL,high_school
"Panther Creek, NC","Panther Creek",NULL,NC,high_school
"Bethlehem Central",NULL,NULL,NULL,high_school
"Noble& Greenough",NULL,NULL,NULL,high_school
"Putnam City West",NULL,NULL,NULL,high_school
"Hardin Jefferson, TX","Hardin Jefferson",NULL,TX,high_school
"Xavier Prep",NULL,NULL,NULL,high_school
"Westmoore, OK",Westmoore,NULL,OK,high_school
"Summer Creek, TX","Summer Creek",NULL,TX,high_school
Lancaster,NULL,NULL,NULL,high_school
Sachse,NULL,NULL,NULL,high_school
"Prestonwood Christian Acadmey, TX","Prestonwood Christian Acadmey",NULL,TX,high_school
"Northside Methodist School",NULL,NULL,NULL,high_school
"Lancaster Central, NY","Lancaster Central",NULL,NY,high_school
"Worcester Academy, MA","Worcester Academy",NULL,MA,high_school
"Clarksville Christian, TN","Clarksville Christian",NULL,TN,high_school
"Cypress Lakes, TX","Cypress Lakes",NULL,TX,high_school
"Washburn Rural",NULL,NULL,NULL,high_school
"Helias Catholic, MO","Helias Catholic",NULL,MO,high_school
"Seven Lakes, TX","Seven Lakes",NULL,TX,high_school
"PAUL VI Catholic, VA","PAUL VI Catholic",NULL,VA,high_school
